id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,26454,0,764,385,233,70.3125,857.65625,0.9918066263198853,0.9595609903335571,0,0,1500,998
1,2180,0,931,59,66,23.4375,982.40625,0.9914987087249756,0.9899726510047913,0,0,1500,998
2,26419,0,766,236,231,117.1875,951.21875,0.9901976585388184,0.9638067483901978,0,0,1500,998
3,17906,884,409,114,186,914.0625,421.03125,0.9856293201446533,0.9766300916671753,0,0,1500,998
4,14558,245,580,176,127,351.5625,670.53125,0.9824036359786987,0.981767475605011,0,0,1500,998
5,8901,879,337,126,82,960.9375,389.84375,0.9773666858673096,0.9793172478675842,0,0,1500,998
6,26931,879,338,126,257,960.9375,452.21875,0.9762381911277771,0.9782688617706299,0,0,1500,998
7,26471,845,762,230,150,960.9375,795.28125,0.9761365056037903,0.9768022894859314,0,0,1500,998
8,9791,425,566,145,89,445.3125,576.96875,0.9750339984893799,0.9700562953948975,0,0,1500,998
9,9862,1093,923,238,74,1242.1875,982.40625,0.9702631235122681,0.9707707762718201,0,0,1500,998
10,17193,1275,803,224,176,1382.8125,888.84375,0.9700708389282227,0.9743751883506775,0,0,1500,998
11,4176,757,551,111,45,820.3125,576.96875,0.9690166711807251,0.978672981262207,0,0,1500,998
12,16868,1206,871,293,125,1335.9375,920.03125,0.9684500694274902,0.9711465239524841,0,0,1500,998
13,11141,276,500,145,117,304.6875,545.78125,0.9666191339492798,0.9779000878334045,0,0,1500,998
14,11223,801,639,149,121,914.0625,732.90625,0.9653452038764954,0.9650735259056091,0,0,1500,998
15,148834,0,182,473,440,398.4375,233.90625,0.9647938013076782,0.9802807569503784,0,0,1500,998
16,4440,743,147,65,149,773.4375,202.71875,0.9647325277328491,0.9812416434288025,0,0,1500,998
17,16482,760,293,114,164,773.4375,421.03125,0.9643130302429199,0.9608674645423889,0,0,1500,998
18,3310,853,232,52,124,867.1875,265.09375,0.9619430303573608,0.9781568050384521,0,0,1500,998
19,15896,1234,715,265,177,1382.8125,795.28125,0.9604501724243164,0.9666646122932434,0,0,1500,998
20,1522,27,0,58,34,70.3125,15.59375,0.9601390361785889,0.9869281053543091,0,0,1500,998
21,22860,0,464,356,160,117.1875,545.78125,0.9590486288070679,0.9575824737548828,0,0,1500,998
22,4087,762,291,111,49,820.3125,296.28125,0.9515172243118286,0.9667710065841675,0,0,1500,998
23,20693,348,394,276,102,492.1875,452.21875,0.9510062336921692,0.968596875667572,0,0,1500,998
24,4573,550,366,149,69,585.9375,421.03125,0.9485526084899902,0.9770959615707397,0,0,1500,998
25,2351,1404,216,90,38,1429.6875,233.90625,0.9481303691864014,0.9748322367668152,0,0,1500,998
26,8809,846,848,223,64,1007.8125,888.84375,0.9470044374465942,0.9528604745864868,0,0,1500,998
27,6389,1188,0,64,120,1242.1875,77.96875,0.9461052417755127,0.9616270065307617,0,0,1500,998
